point,depth,grav,sd,time
P0,147.51,4860.25,0.015,09:59:35
P1,100.93,4855.947,0.03,10:11:44
P2,66.52,4852.587,0.024,10:20:44
P3,0.0,4845.061,0.037,10:28:09
P0,147.51,4860.36,0.027,10:36:18
P1,100.93,4856.074,0.019,10:58:58
P2,66.52,4852.722,0.029,11:22:12
P3,0.0,4845.213,0.026,11:29:07
P0,147.51,4860.521,0.025,11:48:26
