point,depth,grav,sd,time
P0,147.51,4859.905,0.038,07:46:56
P1,100.93,4855.604,0.017,07:56:59
P2,66.52,4852.247,0.031,08:04:52
P3,0.0,4844.748,0.016,08:14:27
P0,147.51,4860.048,0.018,08:25:13
P1,100.93,4855.734,0.025,08:42:41
P2,66.52,4852.373,0.023,08:53:06
P3,0.0,4844.871,0.015,09:05:05
P0,147.51,4860.15,0.02,09:18:18
