point,depth,grav,sd,time
P0,147.51,4859.878,0.023,10:19:52
P1,100.93,4855.577,0.023,10:30:29
P2,66.52,4852.227,0.036,10:41:24
P3,0.0,4844.721,0.038,10:58:00
P0,147.51,4859.993,0.022,11:05:24
P1,100.93,4855.684,0.034,11:18:21
P2,66.52,4852.319,0.029,11:25:30
P3,0.0,4844.79,0.025,11:30:31
P0,147.51,4860.082,0.032,11:37:46
