depth[m]  KN[Ohmm]  SB[Ohmm]  OK[Ohmm]  UK[Ohmm]
   0.60   1906.95   2513.27   4058.94   1085.73
   0.80   1764.00   2314.73   2855.08   1759.29
   1.00   1586.50   2664.07   2065.91   3269.77
   1.20   1391.73   2601.24   1394.87   4091.61
   1.40    838.81   2348.65   1231.50   3641.73
   1.60    710.00   1947.79   1769.34   2226.76
   1.80   1141.97   1556.97   1658.76   1548.18
   2.00   1025.73   1543.15   1161.13   1995.54
   2.20    829.38   1333.29   1120.92   1611.01
   2.40    664.45   1358.42   1404.92   1362.19
   2.60    887.50   1364.71   1605.98   1178.73
   2.80    978.61   1440.11   1759.29   1171.19
   3.00   1112.12   1316.96   1093.27   1616.04
   3.20    903.21   1296.85    799.22   1844.74
   3.40    521.50   1270.46    939.96   1641.17
   3.60    716.28    996.51   1073.17    952.53
   3.80    680.15    939.96    939.96    970.12
   4.00    747.70    946.25    922.37    997.77
   4.20    739.85    785.40    628.32    977.66
   4.40    628.32    655.96    134.21   1208.88
   4.60    493.23    658.48     38.03   1304.39
   4.80    115.61    301.59     76.65    530.30
   5.00     75.40     92.74     29.36    157.83
   5.20    136.03     51.77     57.30     47.20
   5.40    139.96     99.90    106.56     94.50
   5.60     88.91     51.15     75.90     28.05
   5.80    177.34     52.40     66.10     41.95
   6.00    167.29     66.98     62.33     76.65
   6.20     47.75    169.39    268.92     76.15
   6.40    207.66    458.67    879.65     43.35
   6.60    439.82    647.17   1246.58     53.28
   6.80    551.35   1064.37   1834.69    310.64
   7.00    761.84   1560.74   2676.64    476.52
   7.20   1014.73   1654.99   2540.92    814.30
   7.40    951.90   1803.27   2382.58   1281.77
   7.60   1104.27   1951.56   2754.55   1213.91
   7.80   1226.79   1828.41   2063.40   1643.68
   8.00   1080.71   1775.63   1681.38   1920.14
   8.20    794.82   1814.58   1357.17   2297.13
   8.40    746.13   1881.19   2563.54   1236.53
   8.60   1054.00   2063.40   3116.46   1055.58
   8.80   1266.06   1790.71   2189.06   1447.65
   9.00   1223.65   1678.87   1646.19   1789.45
   9.20   1123.12   1435.08    688.64   2274.51
