depth[m]  KN[Ohmm]  SB[Ohmm]  OK[Ohmm]  UK[Ohmm]
   0.70   2045.18   1975.43   2907.86   1123.43
   0.90   1669.76   2601.24   2480.60   2757.06
   1.10   1550.38   2626.37   1676.35   3764.88
   1.30   1105.84   2513.27   1191.29   3996.11
   1.50    716.28   2026.96   1608.50   2535.89
   1.70    967.61   1577.08   1822.12   1379.79
   1.90   1201.66   1528.07   1417.49   1701.49
   2.10    871.79   1393.61   1040.50   1804.53
   2.30    801.11   1251.61   1080.71   1470.27
   2.50    766.55   1469.01   1789.45   1191.29
   2.70    914.20   1392.35   1626.09   1198.83
   2.90   1083.85   1344.60   1392.35   1342.09
   3.10   1044.58   1225.22    902.27   1593.42
   3.30    648.74   1308.16    771.58   1887.47
   3.50    568.63   1123.43   1125.95   1118.41
   3.70    733.56    968.87   1002.80    957.56
   3.90    672.30    937.45   1080.71    816.81
   4.10    716.28    893.47    794.19   1017.88
   4.30    702.15    652.19    258.62   1073.17
   4.50    565.49    594.39     89.47   1123.43
   4.70    182.37    644.65     45.21   1256.64
   4.90    119.38    159.84     64.09    253.84
   5.10     78.54     45.87     41.24     51.27
   5.30    224.15    104.05    110.33     98.52
   5.50     99.27     72.13     96.51     48.31
   5.70    139.17     48.51     66.85     30.91
   5.90    183.47     62.33     69.87     56.80
   6.10     55.45     87.21     90.73     86.21
   6.30     88.75    363.17    673.56     54.04
   6.50    339.29    556.69   1078.19     37.60
   6.70    527.79    879.65   1653.73    109.83
   6.90    650.31   1418.74   2473.06    391.82
   7.10    980.18   1648.71   2704.28    618.27
   7.30   1065.00   1678.87   2297.13   1093.27
   7.50   1006.88   2040.78   2975.72   1095.79
   7.70   1261.35   1869.88   2390.12   1379.79
   7.90   1198.52   1714.05   1756.78   1701.49
   8.10    988.03   1790.71   1447.65   2143.82
   8.30    691.15   1893.75   2186.55   1616.04
   8.50    922.06   1994.28   2955.61   1050.55
   8.70   1278.63   1829.66   2571.08   1113.38
   8.90   1261.35   1726.62   1993.03   1492.88
   9.10   1171.81   1573.31   1138.51   2050.83
   9.30    951.90   1367.22    155.82   2596.21
